ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\DownloadComics.csproj,,,,,,,,Infrastructure cible actuelle: net8.0-windows7.0 Infrastructure cible recommandé: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,219,35,T:System.Windows.MessageBox,,,,,"MessageBox.Show($""Received request: {request}"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,219,35,T:System.Windows.MessageBoxResult,,,,,"MessageBox.Show($""Received request: {request}"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,219,35,M:System.Windows.MessageBox.Show(System.String),,,,,"MessageBox.Show($""Received request: {request}"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,217,31,T:System.Windows.Threading.Dispatcher,,,,,"await Dispatcher.CurrentDispatcher.InvokeAsync(() =>                                 {                                     MessageBox.Show($""Received request: {request}"");                                 });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,217,31,T:System.Windows.Threading.Dispatcher,,,,,"await Dispatcher.CurrentDispatcher.InvokeAsync(() =>                                 {                                     MessageBox.Show($""Received request: {request}"");                                 });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,217,31,P:System.Windows.Threading.Dispatcher.CurrentDispatcher,,,,,"await Dispatcher.CurrentDispatcher.InvokeAsync(() =>                                 {                                     MessageBox.Show($""Received request: {request}"");                                 });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,217,31,T:System.Windows.Threading.DispatcherOperation,,,,,"await Dispatcher.CurrentDispatcher.InvokeAsync(() =>                                 {                                     MessageBox.Show($""Received request: {request}"");                                 });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,217,31,M:System.Windows.Threading.Dispatcher.InvokeAsync(System.Action),,,,,"await Dispatcher.CurrentDispatcher.InvokeAsync(() =>                                 {                                     MessageBox.Show($""Received request: {request}"");                                 });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,81,8,T:System.Windows.Window,,,,,"public static void MakeComic(string baseUrl, string author, string name, int numberPage,              Window owner, bool isScan)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,134,16,M:System.Windows.Window.ShowDialog,,,,,bool? result = pathControl.ShowDialog();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,128,16,T:System.Windows.Window,,,,,PathControl pathControl = new(comic)                  {                      Owner = owner                  };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\ComicUtility.cs,128,16,P:System.Windows.Window.Owner,,,,,PathControl pathControl = new(comic)                  {                      Owner = owner                  };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\TaskUtility.cs,60,8,T:System.Windows.Controls.ListBox,,,,,"public static Action GetUpdateUrl(ListBox comicsURLsList, List<Track> tracks)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\TaskUtility.cs,10,8,T:System.Windows.Controls.ListBox,,,,,"public static Action GetSyncTask(ListBox comicsURLsList, List<Track> tracks)"
